uid,vbm_vac,cbm_vac
ZrHf3S8-c2da921ba360,-6.90895523356556,-4.780784929158204
BrCoTe-fe16216ecd28,-6.006249864102129,-4.19585035378044
CoITe-745c4ca7c851,-5.025004391045785,-4.054098658258035
PdTiS2-f687a834fe7f,-5.591385380122578,-4.0343182607159
GaInBr2S2-0b0f2ac383e0,-7.209793901002269,-4.473822739438429
SVAu2I4-af780a05340e,-6.210756908010609,-4.147576761404781
Au2Mn2I8-1261d6ca0c79,-5.739992367617617,-4.953326505666055
CuMnCl6-4b23ce9d86c4,-8.414988388940168,-6.1572483422697974
MoOsCl6-eb3e088baecc,-6.216904851213927,-4.207787187437872
BrCuGeTe-4bc4f5af9ab3,-5.493031806337745,-3.952807289621846
ClISBr2Se3In4-8dc42ca36c9d,-7.088357361584178,-4.791498043033253
IOsPtBr5-bd1be302c215,-5.732997911409647,-4.881200537780519
ClGeMnSTe2-0e03f3dc6a66,-6.020964597234652,-4.960686309705449
Al2Mn2Se5-f785b5c09e65,-4.629396385212132,-3.1302098468383948
As2Te3-410fc8c2a877,-5.105878924957525,-4.2034338173481585
Sb4Se6-1737b997612b,-5.724839752122779,-3.6641196698044523
Ga2Te2-9ae091933425,-5.237802121111521,-3.8257941375328715
Ag4F8-dd721275faa7,-8.789963305734297,-7.152644681030205
Pt4Br8-92661a6912ae,-6.74755640792972,-4.20997706500083
Nb2F4Se4-1b6d03d0cb7a,-5.421190390411311,-3.585546304251488
O4Bi8Se8-4ea8ee47746b,-5.634366733939412,-3.8982126630382274
W2Br4O4-e8077b1ac9db,-7.58992139490454,-5.2416615248657985
MgGa2S4-2acc5ca1cc95,-6.229337688727972,-4.078676548627414
Br2Ta4Te12-9586f9422a6f,-4.832913345998566,-3.7403073163685034
Cl2Nb4S12-53119d609e40,-5.439175414793496,-4.574312195566564
Mo2F6-221dc44491c8,-6.972108473529936,-5.958210607284665
I2Re6S8-4907b2830e7a,-6.677381194851556,-4.762822691659147
ONb3I7-ae0b0561cdb8,-5.242180601541024,-4.290261676950257
SeTa3Br7-6ff298da83e1,-5.286493319665975,-3.8345222029655615
Ag4Br4Te4-5ab0bdd3822f,-6.854797312007327,-5.598868027433216
Al2I2Se2-48bf3f6d9b6a,-6.281511537754755,-3.450660226178911
Au4F4O4-c198a723ba74,-9.051243493206346,-6.649327137464258
Cl4Ga4Te4-b26ed12abedf,-6.876920572506846,-3.9871548336838805
Ga2I2Te2-e51249a42a85,-6.167113400701982,-4.009858626245357
I4In4Se4-4979ad11d764,-6.761368516843745,-4.159065651200567
AgCrP2Te6-86c62744e564,-5.207230724016783,-4.070011210131803
BiCuAs2Se6-001f5ee0c6ff,-6.4319065896600005,-5.058178590556974
Ge2In2Se6-569d0bfabe7c,-6.390491008071428,-4.511236907929906
Ni2Te2S6-1d3bdd9beaa6,-5.431825461473326,-3.86498119056181
Fe2Se2O8-dca38c8411fd,-7.055411408060955,-4.732216219432836
Rh2Ta2S8-3de484637359,-6.354599387476152,-5.123283583594134
Na2Nb2I12-d652ab58148a,-6.189215918662818,-4.5484101672375505
Br2Cu2Hg2Te2-5e0c509d025e,-6.196480270734438,-4.0301517121073545
Cd2Cl2Cu2S2-4e3e4b17abcd,-6.664347726556819,-4.080014473388626
Cu2Hg2I2Te2-27cce4355c32,-6.00147819664471,-3.9238274255103223
As4Ba4Cl4Te8-ef6f5d20cbbf,-5.548660718208253,-3.9716758099825324
As4Cl4Sr4S8-23797d49235a,-6.592230328139426,-3.6157862440611974
Ba4Bi4F4Se8-78d5a63253bc,-5.914574307436711,-4.296782050280942
Cl2Mn2Sb2S4-cca94a056732,-5.157399624722321,-3.9152538417932554
As2C2Sn2H6S6-2a45b4627917,-5.675938898896913,-2.952055406469476
N2O2Rb2Ru2Cl10-a43f50d53629,-7.814856329458966,-6.169646269646163
Cr4S6-9d9a9820e220,-6.952152899491869,-5.176731394142177
Cu4F8-38f4c7508d5c,-9.01567543058199,-6.3334074999419885
Pt2Br4-0a0d810840f6,-6.4678042342574305,-4.3496635176154985
S6Tl12-d15b56817c9f,-4.818750152476677,-3.0201449878862228
